week,position,song,artist
8/18/1997,24,Push,Matchbox 20
8/18/1997,25,Gotham City,R. Kelly
8/18/1997,26,One Headlight,Wallflowers
8/18/1997,27,To The Moon And Back,Savage Garden
8/18/1997,28,Crash Into Me,Dave Matthews Band
8/18/1997,29,Never Make A Promise,Dru Hill
8/18/1997,30,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
8/18/1997,31,The Difference,Wallflowers
8/18/1997,32,C U When U Get There,Coolio &amp; 40 Thevz
8/18/1997,33,G.h.e.t.t.o.u.t.,Changing Faces
8/18/1997,34,Up Jumps Da Boogie,Magoo &amp; Timbaland
8/18/1997,35,Someone,SWV (featuring Puff Daddy)
8/18/1997,36,You Were Meant For Me,Jewel
8/18/1997,37,Look Into My Eyes,Bone Thugs-N-Harmony
8/18/1997,38,If You Could Only See,Tonic
8/18/1997,39,It's Your Love,Tim McGraw
8/18/1997,40,You Make Me Wanna...,Usher
8/25/1997,1,Semi-charmed Life,Third Eye Blind
8/25/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
8/25/1997,3,2 Become 1,Spice Girls
8/25/1997,4,Do You Know,Robyn
8/25/1997,5,Bitch,Meredith Brooks
8/25/1997,6,How Bizarre,Omc
8/25/1997,7,All For You,Sister Hazel
8/25/1997,8,Sunny Came Home,Shawn Colvin
8/25/1997,9,I'll Be Missing You,Puff Daddy &amp; Faith Evans
8/25/1997,10,The Freshmen,Verve Pipe
8/25/1997,11,Return Of The Mack,Mark Morrison
8/25/1997,12,Where's The Love,Hanson
8/25/1997,13,Men In Black,Will Smith
8/25/1997,14,Invisible Man,98 Degrees
8/25/1997,15,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
8/25/1997,16,Coco Jamboo,Mr.President
8/25/1997,17,Push,Matchbox 20
8/25/1997,18,Foolish Games,Jewel
8/25/1997,19,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
8/25/1997,20,How Do I Live,LeAnn Rimes
8/25/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
8/25/1997,22,Say You'll Be There,Spice Girls
8/25/1997,23,A Change Would Do You Good,Sheryl Crow
8/25/1997,24,Mmm Bop,Hanson
8/25/1997,25,Crash Into Me,Dave Matthews Band
8/25/1997,26,To The Moon And Back,Savage Garden
8/25/1997,27,The Difference,Wallflowers
8/25/1997,28,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
8/25/1997,29,Never Make A Promise,Dru Hill
8/25/1997,30,One Headlight,Wallflowers
8/25/1997,31,You Make Me Wanna...,Usher
8/25/1997,32,Honey,Mariah Carey
8/25/1997,33,Up Jumps Da Boogie,Magoo &amp; Timbaland
8/25/1997,34,C U When U Get There,Coolio &amp; 40 Thevz
8/25/1997,35,Gotham City,R. Kelly
8/25/1997,36,Someone,SWV (featuring Puff Daddy)
8/25/1997,37,G.h.e.t.t.o.u.t.,Changing Faces
8/25/1997,38,If You Could Only See,Tonic
8/25/1997,39,You Were Meant For Me,Jewel
8/25/1997,40,When I Die,No Mercy
9/1/1997,1,Semi-charmed Life,Third Eye Blind
9/1/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
9/1/1997,3,2 Become 1,Spice Girls
9/1/1997,4,All For You,Sister Hazel
9/1/1997,5,Do You Know,Robyn
9/1/1997,6,Bitch,Meredith Brooks
9/1/1997,7,Sunny Came Home,Shawn Colvin
9/1/1997,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
9/1/1997,9,How Bizarre,Omc
9/1/1997,10,Invisible Man,98 Degrees
9/1/1997,11,The Freshmen,Verve Pipe
9/1/1997,12,Where's The Love,Hanson
9/1/1997,13,Men In Black,Will Smith
9/1/1997,14,Return Of The Mack,Mark Morrison
9/1/1997,15,Foolish Games,Jewel
9/1/1997,16,Push,Matchbox 20
9/1/1997,17,Coco Jamboo,Mr.President
9/1/1997,18,How Do I Live,LeAnn Rimes
9/1/1997,19,Building A Mystery,Sarah McLachlan
9/1/1997,20,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
9/1/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
9/1/1997,22,Barbie Girl,Aqua
9/1/1997,23,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
9/1/1997,24,The Difference,Wallflowers
9/1/1997,25,Honey,Mariah Carey
9/1/1997,26,A Change Would Do You Good,Sheryl Crow
9/1/1997,27,Crash Into Me,Dave Matthews Band
9/1/1997,28,Never Make A Promise,Dru Hill
9/1/1997,29,You Make Me Wanna...,Usher
9/1/1997,30,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
9/1/1997,31,If You Could Only See,Tonic
9/1/1997,32,Say You'll Be There,Spice Girls
9/1/1997,33,Mmm Bop,Hanson
9/1/1997,34,Up Jumps Da Boogie,Magoo &amp; Timbaland
9/1/1997,35,I Don't Want To Wait,Paula Cole
9/1/1997,36,C U When U Get There,Coolio &amp; 40 Thevz
9/1/1997,37,To The Moon And Back,Savage Garden
9/1/1997,38,Someone,SWV (featuring Puff Daddy)
9/1/1997,39,Gotham City,R. Kelly
9/1/1997,40,G.h.e.t.t.o.u.t.,Changing Faces
9/8/1997,1,2 Become 1,Spice Girls
9/8/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
9/8/1997,3,Semi-charmed Life,Third Eye Blind
9/8/1997,4,Foolish Games,Jewel
9/8/1997,5,Honey,Mariah Carey
9/8/1997,6,All For You,Sister Hazel
9/8/1997,7,Do You Know,Robyn
9/8/1997,8,I'll Be Missing You,Puff Daddy &amp; Faith Evans
9/8/1997,9,Bitch,Meredith Brooks
9/8/1997,10,Sunny Came Home,Shawn Colvin
9/8/1997,11,Invisible Man,98 Degrees
9/8/1997,12,How Bizarre,Omc
9/8/1997,13,Men In Black,Will Smith
9/8/1997,14,Where's The Love?,Hanson
9/8/1997,15,Push,Matchbox 20
9/8/1997,16,The Freshmen,Verve Pipe
9/8/1997,17,Return Of The Mack,Mark Morrison
9/8/1997,18,How Do I Live,LeAnn Rimes
9/8/1997,19,Coco Jamboo,Mr.President
9/8/1997,20,Building A Mystery,Sarah McLachlan
9/8/1997,21,Barbie Girl,Aqua
9/8/1997,22,The Difference,Wallflowers
9/8/1997,23,"Mo Money,mo Problems",Notorious B.I.G.
9/8/1997,24,Crash Into Me,Dave Matthews Band
9/8/1997,25,You Make Me Wanna...,Usher
9/8/1997,26,If You Could Only See,Tonic
