,week,position,song,artist
32364,1/12/2013,5,Beauty And A Beat,Justin Bieber
32365,1/12/2013,6,Gangnam Style,PSY
32366,1/12/2013,7,Die Young,Ke$ha
32367,1/12/2013,8,I Cry,Flo Rida
32368,1/12/2013,9,Some Nights,Fun.
32369,1/12/2013,10,One More Night,Maroon 5
32370,1/12/2013,11,Girl On Fire,Alicia Keys
32371,1/12/2013,12,Thrift Shop,"Macklemore, Ryan Lewis"
32372,1/12/2013,13,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32373,1/12/2013,14,Scream &amp; Shout,Will.i.am
32374,1/12/2013,15,I Can Only Imagine,David Guetta
32375,1/12/2013,16,Thinkin Bout You,Frank Ocean
32376,1/12/2013,17,I Will Wait,Mumford
32377,1/12/2013,18,Don't Stop The Party,Pitbull
32378,1/12/2013,19,Too Close,Alex Clare
32379,1/12/2013,20,No Worries,Lil Wayne
32380,1/12/2013,21,Little Talks,Of Monsters And Men
32381,1/12/2013,22,Blow Me (One Last Kiss),P!nk
32382,1/12/2013,23,Home,Phillip Phillips
32383,1/12/2013,24,Blown Away,Carrie Underwood
32384,1/12/2013,25,Call Me Maybe,Carly Rae Jepsen
32385,1/12/2013,26,State Of Grace,Taylor Swift
32386,1/12/2013,27,My Life,"50 Cent, Eminem"
32387,1/12/2013,28,F**kin Problems,A$AP Rocky
32388,1/12/2013,29,Try,P!nk
32389,1/12/2013,30,It's Time,Imagine Dragons
32390,1/12/2013,31,Sweet Nothing,Calvin Harris
32391,1/12/2013,32,I'm Different,2 Chainz
32392,1/12/2013,33,Catch My Breath,Kelly Clarkson
32393,1/12/2013,34,As Long As You Love Me,Justin Bieber
32394,1/12/2013,35,Lights,Ellie Goulding
32395,1/12/2013,36,Better Dig Two,Band Perry
32396,1/12/2013,37,Over You,Cassadee Pope
32397,1/12/2013,38,Little Things,One Direction
32399,1/12/2013,40,Daylight,Maroon 5
32400,1/19/2013,1,Locked Out Of Heaven,Bruno Mars
32401,1/19/2013,2,Diamonds,Rihanna
32402,1/19/2013,3,I Knew You Were Trouble,Taylor Swift
32403,1/19/2013,4,Ho Hey,Lumineers
32404,1/19/2013,5,Thrift Shop,"Macklemore, Ryan Lewis"
32405,1/19/2013,6,Home,Phillip Phillips
32406,1/19/2013,7,Scream &amp; Shout,Will.i.am
32407,1/19/2013,8,Beauty And A Beat,Justin Bieber
32408,1/19/2013,9,I Cry,Flo Rida
32409,1/19/2013,10,One More Night,Maroon 5
32410,1/19/2013,11,Thinkin Bout You,Frank Ocean
32411,1/19/2013,12,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32412,1/19/2013,13,Die Young,Ke$ha
32413,1/19/2013,14,Don't Stop The Party,Pitbull
32414,1/19/2013,15,I Will Wait,Mumford
32415,1/19/2013,16,Some Nights,Fun.
32416,1/19/2013,17,Girl On Fire,Alicia Keys
32417,1/19/2013,18,Gangnam Style,PSY
32418,1/19/2013,19,I Can Only Imagine,David Guetta
32419,1/19/2013,20,State Of Grace,Taylor Swift
32420,1/19/2013,21,Little Talks,Of Monsters And Men
32421,1/19/2013,22,My Life,"50 Cent, Eminem"
32422,1/19/2013,23,Blown Away,Carrie Underwood
32423,1/19/2013,24,Try,P!nk
32424,1/19/2013,25,Sweet Nothing,Calvin Harris
32425,1/19/2013,26,No Worries,Lil Wayne
32426,1/19/2013,27,Blow Me (One Last Kiss),P!nk
32427,1/19/2013,28,Too Close,Alex Clare
32428,1/19/2013,29,F**kin Problems,A$AP Rocky
32429,1/19/2013,30,Daylight,Maroon 5
32430,1/19/2013,31,Call Me Maybe,Carly Rae Jepsen
32431,1/19/2013,32,It's Time,Imagine Dragons
32432,1/19/2013,33,As Long As You Love Me,Justin Bieber
32433,1/19/2013,34,Adorn,Miguel
32434,1/19/2013,35,I'm Different,2 Chainz
32435,1/19/2013,36,Over You,Cassadee Pope
32436,1/19/2013,37,Little Things,One Direction
32437,1/19/2013,38,Catch My Breath,Kelly Clarkson
32438,1/19/2013,39,Better Dig Two,Band Perry
32439,1/19/2013,40,Lights,Ellie Goulding
32440,1/26/2013,1,Locked Out Of Heaven,Bruno Mars
32441,1/26/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32442,1/26/2013,3,Ho Hey,Lumineers
32443,1/26/2013,4,I Knew You Were Trouble,Taylor Swift
32444,1/26/2013,5,Diamonds,Rihanna
32445,1/26/2013,6,Don't You Worry Child,Swedish House Mafia
32446,1/26/2013,7,Scream &amp; Shout,Will.i.am
32447,1/26/2013,8,Home,Phillip Phillips
32448,1/26/2013,9,Beauty And A Beat,Justin Bieber
32449,1/26/2013,10,I Cry,Flo Rida
32450,1/26/2013,11,One More Night,Maroon 5
32451,1/26/2013,12,It's Time,Imagine Dragons
32452,1/26/2013,13,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32453,1/26/2013,14,Don't Stop The Party,Pitbull
32454,1/26/2013,15,Girl On Fire,Alicia Keys
32455,1/26/2013,16,Thinkin Bout You,Frank Ocean
32456,1/26/2013,17,F**kin Problems,A$AP Rocky
32457,1/26/2013,18,Try,P!nk
32458,1/26/2013,19,Die Young,Ke$ha
32459,1/26/2013,20,Some Nights,Fun.
32460,1/26/2013,21,My Life,"50 Cent, Eminem"
32461,1/26/2013,22,I Will Wait,Mumford
32462,1/26/2013,23,Sweet Nothing,Calvin Harris
32463,1/26/2013,24,Better Dig Two,Band Perry
32464,1/26/2013,25,Gangnam Style,PSY
32465,1/26/2013,26,Adorn,Miguel
32466,1/26/2013,27,Too Close,Alex Clare
32467,1/26/2013,28,Over You,Cassadee Pope
32468,1/26/2013,29,Blown Away,Carrie Underwood
32469,1/26/2013,30,No Worries,Lil Wayne
32470,1/26/2013,31,I'm Different,2 Chainz
32471,1/26/2013,32,I Can Only Imagine,David Guetta
32472,1/26/2013,33,Little Things,One Direction
32473,1/26/2013,34,Call Me Maybe,Carly Rae Jepsen
32474,1/26/2013,35,Catch My Breath,Kelly Clarkson
32475,1/26/2013,36,Every Storm (Runs Out Of Rain),Gary Allan
32476,1/26/2013,37,Radioactive,Imagine Dragons
32477,1/26/2013,38,Daylight,Maroon 5
32478,1/26/2013,39,As Long As You Love Me,Justin Bieber
32479,1/26/2013,40,Sure Be Cool If You Did,Blake Shelton
32480,2/2/2013,1,Thrift Shop,"Macklemore, Ryan Lewis"
32481,2/2/2013,2,Locked Out Of Heaven,Bruno Mars
32482,2/2/2013,3,Ho Hey,Lumineers
32483,2/2/2013,4,Suit &amp; Tie,Justin Timberlake
32484,2/2/2013,5,I Knew You Were Trouble,Taylor Swift
32485,2/2/2013,6,Scream &amp; Shout,Will.i.am
32486,2/2/2013,7,Don't You Worry Child,Swedish House Mafia
32487,2/2/2013,8,Diamonds,Rihanna
32488,2/2/2013,9,F**kin Problems,A$AP Rocky
32489,2/2/2013,10,Beauty And A Beat,Justin Bieber
32490,2/2/2013,11,One More Night,Maroon 5
32491,2/2/2013,12,It's Time,Imagine Dragons
32492,2/2/2013,13,I Cry,Flo Rida
32493,2/2/2013,14,Home,Phillip Phillips
32494,2/2/2013,15,Sweet Nothing,Calvin Harris
32495,2/2/2013,16,Don't Stop The Party,Pitbull
32496,2/2/2013,17,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32497,2/2/2013,18,I Will Wait,Mumford
32498,2/2/2013,19,Girl On Fire,Alicia Keys
32499,2/2/2013,20,I'm Different,2 Chainz
32500,2/2/2013,21,Some Nights,Fun.
32501,2/2/2013,22,Thinkin Bout You,Frank Ocean
32502,2/2/2013,23,Try,P!nk
32503,2/2/2013,24,C'mon,Ke$ha
32504,2/2/2013,25,Every Storm (Runs Out Of Rain),Gary Allan
32505,2/2/2013,26,Adorn,Miguel
32506,2/2/2013,27,My Life,"50 Cent, Eminem"
32507,2/2/2013,28,Die Young,Ke$ha
32508,2/2/2013,29,Gangnam Style,PSY
32509,2/2/2013,30,Radioactive,Imagine Dragons
32510,2/2/2013,31,Sure Be Cool If You Did,Blake Shelton
32511,2/2/2013,32,Little Things,One Direction
32512,2/2/2013,33,Too Close,Alex Clare
32513,2/2/2013,34,Better Dig Two,Band Perry
32514,2/2/2013,35,Blown Away,Carrie Underwood
32515,2/2/2013,36,Catch My Breath,Kelly Clarkson
32516,2/2/2013,37,Daylight,Maroon 5
32517,2/2/2013,38,I Can Only Imagine,David Guetta
32518,2/2/2013,39,As Long As You Love Me,Justin Bieber
32519,2/2/2013,40,All Gold Everything,Trinidad James
32520,2/9/2013,1,Thrift Shop,"Macklemore, Ryan Lewis"
32521,2/9/2013,2,Locked Out Of Heaven,Bruno Mars
32522,2/9/2013,3,Ho Hey,Lumineers
32523,2/9/2013,4,I Knew You Were Trouble,Taylor Swift
32524,2/9/2013,5,Scream &amp; Shout,Will.i.am
32525,2/9/2013,6,Don't You Worry Child,Swedish House Mafia
32526,2/9/2013,7,F**kin Problems,A$AP Rocky
32527,2/9/2013,8,Suit &amp; Tie,Justin Timberlake
32528,2/9/2013,9,Home,Phillip Phillips
32529,2/9/2013,10,Diamonds,Rihanna
32530,2/9/2013,11,It's Time,Imagine Dragons
32531,2/9/2013,12,Beauty And A Beat,Justin Bieber
32532,2/9/2013,13,Love Me,"Lil Wayne, Drake"
32533,2/9/2013,14,Sweet Nothing,Calvin Harris
32534,2/9/2013,15,Don't Stop The Party,Pitbull
32535,2/9/2013,16,One More Night,Maroon 5
32536,2/9/2013,17,Girl On Fire,Alicia Keys
32537,2/9/2013,18,I'm Different,2 Chainz
32538,2/9/2013,19,My Life,"50 Cent, Eminem"
32539,2/9/2013,20,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32540,2/9/2013,21,I Cry,Flo Rida
32541,2/9/2013,22,I Will Wait,Mumford
32542,2/9/2013,23,Thinkin Bout You,Frank Ocean
32543,2/9/2013,24,C'mon,Ke$ha
32544,2/9/2013,25,Radioactive,Imagine Dragons
32545,2/9/2013,26,Every Storm (Runs Out Of Rain),Gary Allan
32546,2/9/2013,27,Some Nights,Fun.
32547,2/9/2013,28,Try,P!nk
32548,2/9/2013,29,Little Things,One Direction
32549,2/9/2013,30,Sure Be Cool If You Did,Blake Shelton
32550,2/9/2013,31,Die Young,Ke$ha
32551,2/9/2013,32,All Gold Everything,Trinidad James
32552,2/9/2013,33,Adorn,Miguel
32553,2/9/2013,34,Too Close,Alex Clare
32554,2/9/2013,35,Daylight,Maroon 5
32555,2/9/2013,36,Catch My Breath,Kelly Clarkson
32556,2/9/2013,37,Blown Away,Carrie Underwood
32557,2/9/2013,38,Gangnam Style,PSY
32558,2/9/2013,39,Better Dig Two,Band Perry
32559,2/9/2013,40,Pour It Up,Rihanna
32560,2/16/2013,1,Thrift Shop,"Macklemore, Ryan Lewis"
32561,2/16/2013,2,Locked Out Of Heaven,Bruno Mars
32562,2/16/2013,3,Scream &amp; Shout,Will.i.am
32563,2/16/2013,4,Ho Hey,Lumineers
32564,2/16/2013,5,I Knew You Were Trouble,Taylor Swift
32565,2/16/2013,6,Don't You Worry Child,Swedish House Mafia
32566,2/16/2013,7,F**kin Problems,A$AP Rocky
32567,2/16/2013,8,Suit &amp; Tie,Justin Timberlake
32568,2/16/2013,9,Try,P!nk
32569,2/16/2013,10,Sweet Nothing,Calvin Harris
32570,2/16/2013,11,Love Me,"Lil Wayne, Drake"
32571,2/16/2013,12,Home,Phillip Phillips
32572,2/16/2013,13,Beauty And A Beat,Justin Bieber
32573,2/16/2013,14,My Life,"50 Cent, Eminem"
32574,2/16/2013,15,One More Night,Maroon 5
32575,2/16/2013,16,It's Time,Imagine Dragons
32576,2/16/2013,17,Diamonds,Rihanna
32577,2/16/2013,18,C'mon,Ke$ha
32578,2/16/2013,19,Girl On Fire,Alicia Keys
32579,2/16/2013,20,Don't Stop The Party,Pitbull
32580,2/16/2013,21,I Will Wait,Mumford
32581,2/16/2013,22,I'm Different,2 Chainz
32582,2/16/2013,23,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32583,2/16/2013,24,Radioactive,Imagine Dragons
32584,2/16/2013,25,Thinkin Bout You,Frank Ocean
32585,2/16/2013,26,I Cry,Flo Rida
32586,2/16/2013,27,Die Young,Ke$ha
32587,2/16/2013,28,Every Storm (Runs Out Of Rain),Gary Allan
32588,2/16/2013,29,All Gold Everything,Trinidad James
32589,2/16/2013,30,Some Nights,Fun.
32590,2/16/2013,31,Little Things,One Direction
32591,2/16/2013,32,Catch My Breath,Kelly Clarkson
32592,2/16/2013,33,Pour It Up,Rihanna
32593,2/16/2013,34,Better Dig Two,Band Perry
32594,2/16/2013,35,Too Close,Alex Clare
32595,2/16/2013,36,Sure Be Cool If You Did,Blake Shelton
32596,2/16/2013,37,Daylight,Maroon 5
32597,2/16/2013,38,The Only Way I Know,"Jason Aldean, Luke Bryan"
32598,2/16/2013,39,Blown Away,Carrie Underwood
32599,2/16/2013,40,Poetic Justice,Kendrick Lamar
32600,2/23/2013,1,Thrift Shop,"Macklemore, Ryan Lewis"
32601,2/23/2013,2,Locked Out Of Heaven,Bruno Mars
32602,2/23/2013,3,Scream &amp; Shout,Will.i.am
32603,2/23/2013,4,Ho Hey,Lumineers
32604,2/23/2013,5,I Knew You Were Trouble,Taylor Swift
32605,2/23/2013,6,Don't You Worry Child,Swedish House Mafia
32606,2/23/2013,7,Daylight,Maroon 5
32607,2/23/2013,8,Suit &amp; Tie,Justin Timberlake
32608,2/23/2013,9,When I Was Your Man,Bruno Mars
32609,2/23/2013,10,F**kin Problems,A$AP Rocky
32610,2/23/2013,11,Sweet Nothing,Calvin Harris
32611,2/23/2013,12,I Will Wait,Mumford
32612,2/23/2013,13,Home,Phillip Phillips
32613,2/23/2013,14,Try,P!nk
32614,2/23/2013,15,My Life,"50 Cent, Eminem"
32615,2/23/2013,16,Love Me,"Lil Wayne, Drake"
32616,2/23/2013,17,Radioactive,Imagine Dragons
32617,2/23/2013,18,Beauty And A Beat,Justin Bieber
32618,2/23/2013,19,Catch My Breath,Kelly Clarkson
32619,2/23/2013,20,It's Time,Imagine Dragons
32620,2/23/2013,21,C'mon,Ke$ha
32621,2/23/2013,22,Diamonds,Rihanna
32622,2/23/2013,23,One More Night,Maroon 5
32623,2/23/2013,24,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32624,2/23/2013,25,All Gold Everything,Trinidad James
32625,2/23/2013,26,I Cry,Flo Rida
32626,2/23/2013,27,Thinkin Bout You,Frank Ocean
32627,2/23/2013,28,Pour It Up,Rihanna
32628,2/23/2013,29,Girl On Fire,Alicia Keys
32629,2/23/2013,30,One Of Those Nights,Tim McGraw
32630,2/23/2013,31,Some Nights,Fun.
32631,2/23/2013,32,Little Things,One Direction
32632,2/23/2013,33,Sure Be Cool If You Did,Blake Shelton
32633,2/23/2013,34,Die Young,Ke$ha
32634,2/23/2013,35,The Only Way I Know,"Jason Aldean, Luke Bryan"
32635,2/23/2013,36,I'm Different,2 Chainz
32636,2/23/2013,37,Too Close,Alex Clare
32637,2/23/2013,38,Poetic Justice,Kendrick Lamar
32638,2/23/2013,39,Better Dig Two,Band Perry
32639,2/23/2013,40,Blown Away,Carrie Underwood
32640,3/2/2013,1,Harlem Shake,Baauer
32641,3/2/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32642,3/2/2013,3,Stay,Rihanna
32643,3/2/2013,4,Scream &amp; Shout,Will.i.am
32644,3/2/2013,5,I Knew You Were Trouble,Taylor Swift
32645,3/2/2013,6,Locked Out Of Heaven,Bruno Mars
32646,3/2/2013,7,When I Was Your Man,Bruno Mars
32647,3/2/2013,8,Ho Hey,Lumineers
32648,3/2/2013,9,Suit &amp; Tie,Justin Timberlake
32649,3/2/2013,10,Started From The Bottom,Drake
32650,3/2/2013,11,I Will Wait,Mumford
32651,3/2/2013,12,Don't You Worry Child,Swedish House Mafia
32652,3/2/2013,13,Sweet Nothing,Calvin Harris
32653,3/2/2013,14,Daylight,Maroon 5
32654,3/2/2013,15,Love Me,"Lil Wayne, Drake"
32655,3/2/2013,16,Carry On,Fun.
32656,3/2/2013,17,F**kin Problems,A$AP Rocky
32657,3/2/2013,18,Try,P!nk
32658,3/2/2013,19,Pour It Up,Rihanna
32659,3/2/2013,20,Radioactive,Imagine Dragons
32660,3/2/2013,21,Girl On Fire,Alicia Keys
32661,3/2/2013,22,It's Time,Imagine Dragons
32662,3/2/2013,23,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32663,3/2/2013,24,Beauty And A Beat,Justin Bieber
32664,3/2/2013,25,My Life,"50 Cent, Eminem"
32665,3/2/2013,26,C'mon,Ke$ha
32666,3/2/2013,27,Little Things,One Direction
32667,3/2/2013,28,One More Night,Maroon 5
32668,3/2/2013,29,Diamonds,Rihanna
32669,3/2/2013,30,The Only Way I Know,"Jason Aldean, Luke Bryan"
32670,3/2/2013,31,Home,Phillip Phillips
32671,3/2/2013,32,Poetic Justice,Kendrick Lamar
32672,3/2/2013,33,Some Nights,Fun.
32673,3/2/2013,34,Too Close,Alex Clare
32674,3/2/2013,35,Two Black Cadillacs,Carrie Underwood
32675,3/2/2013,36,I Cry,Flo Rida
32676,3/2/2013,37,Sure Be Cool If You Did,Blake Shelton
32677,3/2/2013,38,Die Young,Ke$ha
32678,3/2/2013,39,Troublemaker,Olly Murs
32679,3/2/2013,40,I'm Different,2 Chainz
32680,3/9/2013,1,Harlem Shake,Baauer
32681,3/9/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32682,3/9/2013,3,When I Was Your Man,Bruno Mars
32683,3/9/2013,4,I Knew You Were Trouble,Taylor Swift
32684,3/9/2013,5,Scream &amp; Shout,Will.i.am
32685,3/9/2013,6,Started From The Bottom,Drake
32686,3/9/2013,7,Suit &amp; Tie,Justin Timberlake
32687,3/9/2013,8,Ho Hey,Lumineers
32688,3/9/2013,9,Stay,Rihanna
32689,3/9/2013,10,One Way Or Another (Teenage Kicks),One Direction
32690,3/9/2013,11,Locked Out Of Heaven,Bruno Mars
32691,3/9/2013,12,Love Me,"Lil Wayne, Drake"
32692,3/9/2013,13,I Will Wait,Mumford
32693,3/9/2013,14,Pour It Up,Rihanna
32694,3/9/2013,15,Don't You Worry Child,Swedish House Mafia
32695,3/9/2013,16,Radioactive,Imagine Dragons
32696,3/9/2013,17,Sweet Nothing,Calvin Harris
32697,3/9/2013,18,Try,P!nk
32698,3/9/2013,19,Carry On,Fun.
32699,3/9/2013,20,Poetic Justice,Kendrick Lamar
32700,3/9/2013,21,Daylight,Maroon 5
32701,3/9/2013,22,My Life,"50 Cent, Eminem"
32702,3/9/2013,23,Girl On Fire,Alicia Keys
32703,3/9/2013,24,Feel This Moment,Pitbull
32704,3/9/2013,25,F**kin Problems,A$AP Rocky
32705,3/9/2013,26,Little Things,One Direction
32706,3/9/2013,27,The Only Way I Know,"Jason Aldean, Luke Bryan"
32707,3/9/2013,28,It's Time,Imagine Dragons
32708,3/9/2013,29,Some Nights,Fun.
32709,3/9/2013,30,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32710,3/9/2013,31,Two Black Cadillacs,Carrie Underwood
32711,3/9/2013,32,Too Close,Alex Clare
32712,3/9/2013,33,One More Night,Maroon 5
32713,3/9/2013,34,C'mon,Ke$ha
32714,3/9/2013,35,Troublemaker,Olly Murs
32715,3/9/2013,36,I'm Different,2 Chainz
32716,3/9/2013,37,Sure Be Cool If You Did,Blake Shelton
32717,3/9/2013,38,Die Young,Ke$ha
32718,3/9/2013,39,Home,Phillip Phillips
32719,3/9/2013,40,Beauty And A Beat,Justin Bieber
32720,3/16/2013,1,Harlem Shake,Baauer
32721,3/16/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32722,3/16/2013,3,When I Was Your Man,Bruno Mars
32723,3/16/2013,4,I Knew You Were Trouble,Taylor Swift
32724,3/16/2013,5,Stay,Rihanna
32725,3/16/2013,6,Started From The Bottom,Drake
32726,3/16/2013,7,Suit &amp; Tie,Justin Timberlake
32727,3/16/2013,8,Don't You Worry Child,Swedish House Mafia
32728,3/16/2013,9,Locked Out Of Heaven,Bruno Mars
32729,3/16/2013,10,Heart Attack,Demi Lovato
32730,3/16/2013,11,Ho Hey,Lumineers
32731,3/16/2013,12,Pour It Up,Rihanna
32732,3/16/2013,13,Radioactive,Imagine Dragons
32733,3/16/2013,14,Scream &amp; Shout,Will.i.am
32734,3/16/2013,15,I Will Wait,Mumford
32735,3/16/2013,16,Poetic Justice,Kendrick Lamar
32736,3/16/2013,17,Love Me,"Lil Wayne, Drake"
32737,3/16/2013,18,Carry On,Fun.
32738,3/16/2013,19,Sweet Nothing,Calvin Harris
32739,3/16/2013,20,F**kin Problems,A$AP Rocky
32740,3/16/2013,21,My Life,"50 Cent, Eminem"
32741,3/16/2013,22,Try,P!nk
32742,3/16/2013,23,The Only Way I Know,"Jason Aldean, Luke Bryan"
32743,3/16/2013,24,Feel This Moment,Pitbull
32744,3/16/2013,25,Daylight,Maroon 5
32745,3/16/2013,26,Some Nights,Fun.
32746,3/16/2013,27,Little Things,One Direction
32747,3/16/2013,28,Girl On Fire,Alicia Keys
32748,3/16/2013,29,Sail,Awolnation
32749,3/16/2013,30,Too Close,Alex Clare
32750,3/16/2013,31,Sure Be Cool If You Did,Blake Shelton
32751,3/16/2013,32,One Way Or Another (Teenage Kicks),One Direction
32752,3/16/2013,33,Two Black Cadillacs,Carrie Underwood
32753,3/16/2013,34,It's Time,Imagine Dragons
32754,3/16/2013,35,Skyfall,Adele
32755,3/16/2013,36,One More Night,Maroon 5
32756,3/16/2013,37,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32757,3/16/2013,38,Die Young,Ke$ha
32758,3/16/2013,39,Just Give Me A Reason,P!nk
32759,3/16/2013,40,Downtown,Lady Antebellum
32760,3/23/2013,1,Harlem Shake,Baauer
32761,3/23/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32762,3/23/2013,3,When I Was Your Man,Bruno Mars
32763,3/23/2013,4,Stay,Rihanna
32764,3/23/2013,5,Suit &amp; Tie,Justin Timberlake
32765,3/23/2013,6,I Knew You Were Trouble,Taylor Swift
32766,3/23/2013,7,Love Me,"Lil Wayne, Drake"
32767,3/23/2013,8,Locked Out Of Heaven,Bruno Mars
32768,3/23/2013,9,Pour It Up,Rihanna
32769,3/23/2013,10,Started From The Bottom,Drake
32770,3/23/2013,11,Radioactive,Imagine Dragons
32771,3/23/2013,12,Don't You Worry Child,Swedish House Mafia
32772,3/23/2013,13,Poetic Justice,Kendrick Lamar
32773,3/23/2013,14,Ho Hey,Lumineers
32774,3/23/2013,15,I Will Wait,Mumford
32775,3/23/2013,16,F**kin Problems,A$AP Rocky
32776,3/23/2013,17,Heart Attack,Demi Lovato
32777,3/23/2013,18,Sweet Nothing,Calvin Harris
32778,3/23/2013,19,Daylight,Maroon 5
32779,3/23/2013,20,Carry On,Fun.
32780,3/23/2013,21,The Only Way I Know,"Jason Aldean, Luke Bryan"
32781,3/23/2013,22,My Life,"50 Cent, Eminem"
32782,3/23/2013,23,Some Nights,Fun.
32783,3/23/2013,24,Try,P!nk
32784,3/23/2013,25,Girl On Fire,Alicia Keys
32785,3/23/2013,26,Feel This Moment,Pitbull
32786,3/23/2013,27,Little Things,One Direction
32787,3/23/2013,28,Two Black Cadillacs,Carrie Underwood
32788,3/23/2013,29,Sure Be Cool If You Did,Blake Shelton
32789,3/23/2013,30,Just Give Me A Reason,P!nk
32790,3/23/2013,31,Sail,Awolnation
32791,3/23/2013,32,Too Close,Alex Clare
32792,3/23/2013,33,Die Young,Ke$ha
32793,3/23/2013,34,Mama's Broken Heart,Miranda Lambert
32794,3/23/2013,35,It's Time,Imagine Dragons
32795,3/23/2013,36,Can't Hold Us,"Macklemore, Ryan Lewis"
32796,3/23/2013,37,Let Me Love You (Until You Learn To Love Yourself) ,Ne-Yo
32797,3/23/2013,38,Skyfall,Adele
32798,3/23/2013,39,Downtown,Lady Antebellum
32799,3/23/2013,40,One More Night,Maroon 5
32800,3/30/2013,1,Harlem Shake,Baauer
32801,3/30/2013,2,Thrift Shop,"Macklemore, Ryan Lewis"
32802,3/30/2013,3,When I Was Your Man,Bruno Mars
32803,3/30/2013,4,Suit &amp; Tie,Justin Timberlake
32804,3/30/2013,5,Stay,Rihanna
32805,3/30/2013,6,Started From The Bottom,Drake
32806,3/30/2013,7,Just Give Me A Reason,P!nk
32807,3/30/2013,8,I Knew You Were Trouble,Taylor Swift
32808,3/30/2013,9,F**kin Problems,A$AP Rocky
32809,3/30/2013,10,Pour It Up,Rihanna
32810,3/30/2013,11,Love Me,"Lil Wayne, Drake"
32811,3/30/2013,12,Ho Hey,Lumineers
32812,3/30/2013,13,Heart Attack,Demi Lovato
32813,3/30/2013,14,Locked Out Of Heaven,Bruno Mars
32814,3/30/2013,15,Carry On,Fun.
32815,3/30/2013,16,Don't You Worry Child,Swedish House Mafia
32816,3/30/2013,17,Sweet Nothing,Calvin Harris
32817,3/30/2013,18,Radioactive,Imagine Dragons
32818,3/30/2013,19,My Life,"50 Cent, Eminem"
32819,3/30/2013,20,I Will Wait,Mumford
32820,3/30/2013,21,Mirrors,Justin Timberlake
32821,3/30/2013,22,Poetic Justice,Kendrick Lamar
32822,3/30/2013,23,Little Things,One Direction
32823,3/30/2013,24,Try,P!nk
32824,3/30/2013,25,Sure Be Cool If You Did,Blake Shelton
32825,3/30/2013,26,Two Black Cadillacs,Carrie Underwood
32826,3/30/2013,27,Mama's Broken Heart,Miranda Lambert
32827,3/30/2013,28,Can't Hold Us,"Macklemore, Ryan Lewis"
32828,3/30/2013,29,Some Nights,Fun.
32829,3/30/2013,30,I Love It,Icona Pop
32830,3/30/2013,31,The Only Way I Know,"Jason Aldean, Luke Bryan"
32831,3/30/2013,32,Sail,Awolnation
32832,3/30/2013,33,Downtown,Lady Antebellum
32833,3/30/2013,34,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
32834,3/30/2013,35,Girl On Fire,Alicia Keys
32835,3/30/2013,36,Bad,Wale
32836,3/30/2013,37,Feel This Moment,Pitbull
32837,3/30/2013,38,It's Time,Imagine Dragons
32838,3/30/2013,39,Daylight,Maroon 5
32839,3/30/2013,40,Too Close,Alex Clare
32840,4/6/2013,1,Thrift Shop,"Macklemore, Ryan Lewis"
32841,4/6/2013,2,Harlem Shake,Baauer
32842,4/6/2013,3,Suit &amp; Tie,Justin Timberlake
32843,4/6/2013,4,When I Was Your Man,Bruno Mars
32844,4/6/2013,5,Stay,Rihanna
32845,4/6/2013,6,Just Give Me A Reason,P!nk
32846,4/6/2013,7,Love Me,"Lil Wayne, Drake"
32847,4/6/2013,8,Started From The Bottom,Drake
32848,4/6/2013,9,I Knew You Were Trouble,Taylor Swift
32849,4/6/2013,10,Pour It Up,Rihanna
32850,4/6/2013,11,Mirrors,Justin Timberlake
32851,4/6/2013,12,Radioactive,Imagine Dragons
32852,4/6/2013,13,Ho Hey,Lumineers
32853,4/6/2013,14,F**kin Problems,A$AP Rocky
32854,4/6/2013,15,Locked Out Of Heaven,Bruno Mars
32855,4/6/2013,16,My Life,"50 Cent, Eminem"
32856,4/6/2013,17,Sure Be Cool If You Did,Blake Shelton
32857,4/6/2013,18,Sweet Nothing,Calvin Harris
32858,4/6/2013,19,Heart Attack,Demi Lovato
32859,4/6/2013,20,Carry On,Fun.
32860,4/6/2013,21,Can't Hold Us,"Macklemore, Ryan Lewis"
32861,4/6/2013,22,I Will Wait,Mumford
32862,4/6/2013,23,Don't You Worry Child,Swedish House Mafia
32863,4/6/2013,24,Mama's Broken Heart,Miranda Lambert
32864,4/6/2013,25,Little Things,One Direction
32865,4/6/2013,26,Some Nights,Fun.
32866,4/6/2013,27,The Only Way I Know,"Jason Aldean, Luke Bryan"
