chart_order,week,position,artist,song,combo
139,8/11/97,2,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
140,8/11/97,3,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
141,8/11/97,4,Robyn,Do You Know,Robyn: Do You Know
142,8/11/97,5,Omc,How Bizarre,Omc: How Bizarre
143,8/11/97,6,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
144,8/11/97,7,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
145,8/11/97,8,Sister Hazel,All For You,Sister Hazel: All For You
146,8/11/97,9,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
147,8/11/97,10,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
148,8/11/97,12,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
149,8/11/97,13,Hanson,Mmm Bop,Hanson: Mmm Bop
150,8/11/97,14,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
151,8/11/97,18,Hanson,Where's The Love,Hanson: Where's The Love
152,8/11/97,21,Wallflowers,One Headlight,Wallflowers: One Headlight
153,8/11/97,23,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
154,8/11/97,25,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
155,8/11/97,26,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
156,8/11/97,28,Savage Garden,I Want You,Savage Garden: I Want You
157,8/11/97,30,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
158,8/11/97,32,Coolio,C U When U Get There,Coolio: C U When U Get There
159,8/11/97,33,Wallflowers,The Difference,Wallflowers: The Difference
160,8/11/97,35,En Vogue,Whatever,En Vogue: Whatever
161,8/11/97,36,Monica,For You I Will,Monica: For You I Will
162,8/11/97,37,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
163,8/18/97,1,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
164,8/18/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
165,8/18/97,3,Meredith Brooks,Bitch,Meredith Brooks: Bitch
166,8/18/97,4,Robyn,Do You Know,Robyn: Do You Know
167,8/18/97,5,Omc,How Bizarre,Omc: How Bizarre
168,8/18/97,6,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
169,8/18/97,7,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
170,8/18/97,8,Sister Hazel,All For You,Sister Hazel: All For You
171,8/18/97,10,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
172,8/18/97,11,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
173,8/18/97,13,Hanson,Where's The Love,Hanson: Where's The Love
174,8/18/97,14,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
175,8/18/97,17,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
176,8/18/97,18,Hanson,Mmm Bop,Hanson: Mmm Bop
177,8/18/97,21,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
178,8/18/97,26,Wallflowers,One Headlight,Wallflowers: One Headlight
179,8/18/97,28,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
180,8/18/97,30,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
181,8/18/97,31,Wallflowers,The Difference,Wallflowers: The Difference
182,8/18/97,32,Coolio,C U When U Get There,Coolio: C U When U Get There
183,8/18/97,33,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
184,8/18/97,38,Tonic,If You Could Only See,Tonic: If You Could Only See
185,8/25/97,1,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
186,8/25/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
187,8/25/97,3,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
188,8/25/97,4,Robyn,Do You Know,Robyn: Do You Know
189,8/25/97,5,Meredith Brooks,Bitch,Meredith Brooks: Bitch
190,8/25/97,6,Omc,How Bizarre,Omc: How Bizarre
191,8/25/97,7,Sister Hazel,All For You,Sister Hazel: All For You
192,8/25/97,8,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
193,8/25/97,10,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
194,8/25/97,11,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
195,8/25/97,12,Hanson,Where's The Love,Hanson: Where's The Love
196,8/25/97,19,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
197,8/25/97,20,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
198,8/25/97,22,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
199,8/25/97,24,Hanson,Mmm Bop,Hanson: Mmm Bop
200,8/25/97,25,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
201,8/25/97,27,Wallflowers,The Difference,Wallflowers: The Difference
202,8/25/97,28,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
203,8/25/97,30,Wallflowers,One Headlight,Wallflowers: One Headlight
204,8/25/97,34,Coolio,C U When U Get There,Coolio: C U When U Get There
205,8/25/97,37,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
206,8/25/97,38,Tonic,If You Could Only See,Tonic: If You Could Only See
207,8/25/97,40,No Mercy,When I Die,No Mercy: When I Die
208,9/1/97,1,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
209,9/1/97,2,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
210,9/1/97,3,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
211,9/1/97,4,Sister Hazel,All For You,Sister Hazel: All For You
212,9/1/97,5,Robyn,Do You Know,Robyn: Do You Know
213,9/1/97,6,Meredith Brooks,Bitch,Meredith Brooks: Bitch
214,9/1/97,7,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
215,9/1/97,9,Omc,How Bizarre,Omc: How Bizarre
216,9/1/97,11,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
217,9/1/97,12,Hanson,Where's The Love,Hanson: Where's The Love
218,9/1/97,14,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
219,9/1/97,18,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
220,9/1/97,19,Sarah McLachlan,Building A Mystery,Sarah McLachlan: Building A Mystery
221,9/1/97,22,Aqua,Barbie Girl,Aqua: Barbie Girl
222,9/1/97,23,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
223,9/1/97,24,Wallflowers,The Difference,Wallflowers: The Difference
