chart_order,week,position,artist,song,combo
13133,7/14/07,4,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13134,7/14/07,5,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13135,7/14/07,6,Timbaland,The Way I Are,Timbaland: The Way I Are
13136,7/14/07,7,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13137,7/14/07,11,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13138,7/14/07,12,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13139,7/14/07,14,T-Pain,Bartender,T-Pain: Bartender
13140,7/14/07,17,Fabolous,Make Me Better,Fabolous: Make Me Better
13141,7/14/07,20,Linkin Park,What I've Done,Linkin Park: What I've Done
13142,7/14/07,22,White Stripes,Icky Thump,White Stripes: Icky Thump
13143,7/14/07,24,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13144,7/14/07,25,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13145,7/14/07,27,R. Kelly,Same Girl,R. Kelly: Same Girl
13146,7/14/07,28,Nickelback,Rockstar,Nickelback: Rockstar
13147,7/14/07,30,Daughtry,Home,Daughtry: Home
13148,7/14/07,32,Rich Boy,Throw Some D'S,Rich Boy: Throw Some D'S
13149,7/14/07,33,Fergie,Glamorous,Fergie: Glamorous
13150,7/14/07,35,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13151,7/14/07,36,Timbaland,Give It To Me,Timbaland: Give It To Me
13152,7/14/07,37,Yung Berg,Sexy Lady,Yung Berg: Sexy Lady
13153,7/14/07,38,Boys Like Girls,The Great Escape,Boys Like Girls: The Great Escape
13154,7/14/07,39,Mims,Like This,Mims: Like This
13155,7/21/07,1,Rihanna,Umbrella,Rihanna: Umbrella
13156,7/21/07,2,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13157,7/21/07,3,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13158,7/21/07,4,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13159,7/21/07,5,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13160,7/21/07,6,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13161,7/21/07,8,Timbaland,The Way I Are,Timbaland: The Way I Are
13162,7/21/07,11,Fabolous,Make Me Better,Fabolous: Make Me Better
13163,7/21/07,12,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13164,7/21/07,14,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13165,7/21/07,16,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13166,7/21/07,17,Linkin Park,What I've Done,Linkin Park: What I've Done
13167,7/21/07,19,T-Pain,Bartender,T-Pain: Bartender
13168,7/21/07,21,White Stripes,Icky Thump,White Stripes: Icky Thump
13169,7/21/07,25,Mims,Like This,Mims: Like This
13170,7/21/07,28,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13171,7/21/07,29,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13172,7/21/07,30,Fergie,Glamorous,Fergie: Glamorous
13173,7/21/07,31,Yung Berg,Sexy Lady,Yung Berg: Sexy Lady
13174,7/21/07,32,R. Kelly,Same Girl,R. Kelly: Same Girl
13175,7/21/07,33,Mario,How Do I Breathe,Mario: How Do I Breathe
13176,7/21/07,34,Aly,Potential Breakup Song,Aly: Potential Breakup Song
13177,7/21/07,36,Nickelback,Rockstar,Nickelback: Rockstar
13178,7/21/07,37,Timbaland,Give It To Me,Timbaland: Give It To Me
13179,7/21/07,39,Mims,Like This,Mims: Like This
13180,7/21/07,39,Fantasia Barrino,When I See U,Fantasia Barrino: When I See U
13181,7/28/07,1,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13182,7/28/07,2,Rihanna,Umbrella,Rihanna: Umbrella
13183,7/28/07,3,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13184,7/28/07,4,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13185,7/28/07,5,Timbaland,The Way I Are,Timbaland: The Way I Are
13186,7/28/07,6,T-Pain,Bartender,T-Pain: Bartender
13187,7/28/07,7,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13188,7/28/07,9,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13189,7/28/07,14,Fabolous,Make Me Better,Fabolous: Make Me Better
13190,7/28/07,16,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13191,7/28/07,17,Plies,Shawty,Plies: Shawty
13192,7/28/07,18,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13193,7/28/07,19,Aly,Potential Breakup Song,Aly: Potential Breakup Song
13194,7/28/07,20,White Stripes,Icky Thump,White Stripes: Icky Thump
13195,7/28/07,22,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13196,7/28/07,23,Linkin Park,What I've Done,Linkin Park: What I've Done
13197,7/28/07,25,Mims,Like This,Mims: Like This
13198,7/28/07,27,R. Kelly,Same Girl,R. Kelly: Same Girl
13199,7/28/07,30,Mario,How Do I Breathe,Mario: How Do I Breathe
13200,7/28/07,31,Fergie,Glamorous,Fergie: Glamorous
13201,7/28/07,32,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13202,7/28/07,34,Lifehouse,First Time,Lifehouse: First Time
13203,7/28/07,35,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13204,7/28/07,38,Mims,Like This,Mims: Like This
13205,7/28/07,39,Nickelback,Rockstar,Nickelback: Rockstar
13206,7/28/07,40,Fantasia Barrino,When I See U,Fantasia Barrino: When I See U
13207,8/4/07,1,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13208,8/4/07,2,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13209,8/4/07,3,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13210,8/4/07,4,Rihanna,Umbrella,Rihanna: Umbrella
13211,8/4/07,5,Timbaland,The Way I Are,Timbaland: The Way I Are
13212,8/4/07,6,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13213,8/4/07,7,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13214,8/4/07,8,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13215,8/4/07,9,T-Pain,Bartender,T-Pain: Bartender
13216,8/4/07,17,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13217,8/4/07,18,Fabolous,Make Me Better,Fabolous: Make Me Better
13218,8/4/07,19,Linkin Park,What I've Done,Linkin Park: What I've Done
13219,8/4/07,20,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13220,8/4/07,21,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13221,8/4/07,22,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13222,8/4/07,25,Mims,Like This,Mims: Like This
13223,8/4/07,26,R. Kelly,Same Girl,R. Kelly: Same Girl
13224,8/4/07,27,Plies,Shawty,Plies: Shawty
13225,8/4/07,28,White Stripes,Icky Thump,White Stripes: Icky Thump
13226,8/4/07,29,Aly,Potential Breakup Song,Aly: Potential Breakup Song
13227,8/4/07,33,Fergie,Glamorous,Fergie: Glamorous
13228,8/4/07,34,Mario,How Do I Breathe,Mario: How Do I Breathe
13229,8/4/07,35,Kanye West,Stronger,Kanye West: Stronger
13230,8/4/07,36,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13231,8/4/07,38,P!nk,Who Knew,P!nk: Who Knew
13232,8/4/07,39,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13233,8/4/07,40,Lifehouse,First Time,Lifehouse: First Time
13234,8/11/07,1,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13235,8/11/07,2,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13236,8/11/07,3,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13237,8/11/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13238,8/11/07,5,Rihanna,Umbrella,Rihanna: Umbrella
13239,8/11/07,6,Kanye West,Stronger,Kanye West: Stronger
13240,8/11/07,7,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13241,8/11/07,8,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13242,8/11/07,9,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13243,8/11/07,12,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13244,8/11/07,13,T-Pain,Bartender,T-Pain: Bartender
13245,8/11/07,17,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13246,8/11/07,19,Linkin Park,What I've Done,Linkin Park: What I've Done
13247,8/11/07,20,Fabolous,Make Me Better,Fabolous: Make Me Better
13248,8/11/07,22,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13249,8/11/07,23,Sean Kingston,Me Love,Sean Kingston: Me Love
13250,8/11/07,24,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13251,8/11/07,25,R. Kelly,Same Girl,R. Kelly: Same Girl
13252,8/11/07,27,Mims,Like This,Mims: Like This
13253,8/11/07,28,Lifehouse,First Time,Lifehouse: First Time
13254,8/11/07,30,Plies,Shawty,Plies: Shawty
13255,8/11/07,31,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13256,8/11/07,32,White Stripes,Icky Thump,White Stripes: Icky Thump
13257,8/11/07,34,P!nk,Who Knew,P!nk: Who Knew
13258,8/11/07,35,Mario,How Do I Breathe,Mario: How Do I Breathe
13259,8/11/07,36,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13260,8/11/07,38,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13261,8/11/07,40,Fergie,Glamorous,Fergie: Glamorous
13262,8/18/07,1,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13263,8/18/07,2,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13264,8/18/07,3,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13265,8/18/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13266,8/18/07,5,Rihanna,Umbrella,Rihanna: Umbrella
13267,8/18/07,6,Kanye West,Stronger,Kanye West: Stronger
13268,8/18/07,7,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13269,8/18/07,9,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13270,8/18/07,10,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13271,8/18/07,12,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13272,8/18/07,14,T-Pain,Bartender,T-Pain: Bartender
13273,8/18/07,15,Mims,Like This,Mims: Like This
13274,8/18/07,16,Sean Kingston,Me Love,Sean Kingston: Me Love
13275,8/18/07,18,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13276,8/18/07,22,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13277,8/18/07,23,Linkin Park,What I've Done,Linkin Park: What I've Done
13278,8/18/07,25,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13279,8/18/07,26,Fabolous,Make Me Better,Fabolous: Make Me Better
13280,8/18/07,27,Lifehouse,First Time,Lifehouse: First Time
13281,8/18/07,28,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13282,8/18/07,28,Plies,Shawty,Plies: Shawty
13283,8/18/07,29,R. Kelly,Same Girl,R. Kelly: Same Girl
13284,8/18/07,30,Amy Winehouse,Rehab,Amy Winehouse: Rehab
13285,8/18/07,31,Avril Lavigne,When You're Gone,Avril Lavigne: When You're Gone
13286,8/18/07,37,Mario,How Do I Breathe,Mario: How Do I Breathe
13287,8/18/07,38,White Stripes,Icky Thump,White Stripes: Icky Thump
13288,8/18/07,39,P!nk,Who Knew,P!nk: Who Knew
13289,8/18/07,40,Fergie,Glamorous,Fergie: Glamorous
13290,8/25/07,1,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13291,8/25/07,2,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13292,8/25/07,3,Timbaland,The Way I Are,Timbaland: The Way I Are
13293,8/25/07,4,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13294,8/25/07,5,Rihanna,Umbrella,Rihanna: Umbrella
13295,8/25/07,6,Kanye West,Stronger,Kanye West: Stronger
13296,8/25/07,7,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13297,8/25/07,8,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13298,8/25/07,9,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13299,8/25/07,12,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13300,8/25/07,13,T-Pain,Bartender,T-Pain: Bartender
13301,8/25/07,16,Sean Kingston,Me Love,Sean Kingston: Me Love
13302,8/25/07,19,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13303,8/25/07,20,Mims,Like This,Mims: Like This
13304,8/25/07,21,Linkin Park,What I've Done,Linkin Park: What I've Done
13305,8/25/07,24,R. Kelly,Same Girl,R. Kelly: Same Girl
13306,8/25/07,25,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13307,8/25/07,28,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13308,8/25/07,29,Lifehouse,First Time,Lifehouse: First Time
13309,8/25/07,30,Fabolous,Make Me Better,Fabolous: Make Me Better
13310,8/25/07,32,White Stripes,Icky Thump,White Stripes: Icky Thump
13311,8/25/07,33,Mario,How Do I Breathe,Mario: How Do I Breathe
13312,8/25/07,34,P!nk,Who Knew,P!nk: Who Knew
13313,8/25/07,35,J. Holiday,Bed,J. Holiday: Bed
13314,8/25/07,36,Plies,Shawty,Plies: Shawty
13315,8/25/07,37,Avril Lavigne,When You're Gone,Avril Lavigne: When You're Gone
13316,8/25/07,39,Paramore,Misery Business,Paramore: Misery Business
13317,8/25/07,40,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13318,9/1/07,1,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13319,9/1/07,2,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13320,9/1/07,3,Timbaland,The Way I Are,Timbaland: The Way I Are
13321,9/1/07,4,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13322,9/1/07,5,Kanye West,Stronger,Kanye West: Stronger
13323,9/1/07,6,Rihanna,Umbrella,Rihanna: Umbrella
13324,9/1/07,7,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13325,9/1/07,8,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13326,9/1/07,9,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13327,9/1/07,10,T-Pain,Bartender,T-Pain: Bartender
13328,9/1/07,14,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13329,9/1/07,16,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13330,9/1/07,18,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13331,9/1/07,20,Sean Kingston,Me Love,Sean Kingston: Me Love
13332,9/1/07,23,Lifehouse,First Time,Lifehouse: First Time
13333,9/1/07,24,Mims,Like This,Mims: Like This
13334,9/1/07,25,R. Kelly,Same Girl,R. Kelly: Same Girl
13335,9/1/07,26,Linkin Park,What I've Done,Linkin Park: What I've Done
13336,9/1/07,27,J. Holiday,Bed,J. Holiday: Bed
13337,9/1/07,28,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13338,9/1/07,30,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13339,9/1/07,31,Paramore,Misery Business,Paramore: Misery Business
13340,9/1/07,33,White Stripes,Icky Thump,White Stripes: Icky Thump
13341,9/1/07,35,Gym Class Heroes,Clothes Off,Gym Class Heroes: Clothes Off
13342,9/1/07,36,Mario,How Do I Breathe,Mario: How Do I Breathe
13343,9/1/07,37,Plies,Shawty,Plies: Shawty
13344,9/1/07,38,P!nk,Who Knew,P!nk: Who Knew
13345,9/1/07,39,Avril Lavigne,When You're Gone,Avril Lavigne: When You're Gone
13346,9/1/07,40,Fabolous,Make Me Better,Fabolous: Make Me Better
13347,9/8/07,1,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13348,9/8/07,2,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13349,9/8/07,3,Kanye West,Stronger,Kanye West: Stronger
13350,9/8/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13351,9/8/07,5,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13352,9/8/07,7,Rihanna,Umbrella,Rihanna: Umbrella
13353,9/8/07,8,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13354,9/8/07,9,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13355,9/8/07,10,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13356,9/8/07,11,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13357,9/8/07,14,T-Pain,Bartender,T-Pain: Bartender
13358,9/8/07,16,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13359,9/8/07,19,Lifehouse,First Time,Lifehouse: First Time
13360,9/8/07,20,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13361,9/8/07,21,J. Holiday,Bed,J. Holiday: Bed
13362,9/8/07,24,Sean Kingston,Me Love,Sean Kingston: Me Love
13363,9/8/07,26,Gym Class Heroes,Clothes Off,Gym Class Heroes: Clothes Off
13364,9/8/07,28,Linkin Park,What I've Done,Linkin Park: What I've Done
13365,9/8/07,29,Mims,Like This,Mims: Like This
13366,9/8/07,32,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13367,9/8/07,33,R. Kelly,Same Girl,R. Kelly: Same Girl
13368,9/8/07,34,Lil Mama,Lip Gloss,Lil Mama: Lip Gloss
13369,9/8/07,35,Kat DeLuna,Whine Up,Kat DeLuna: Whine Up
13370,9/8/07,36,Avril Lavigne,When You're Gone,Avril Lavigne: When You're Gone
13371,9/8/07,37,Baby Bash,Cyclone,Baby Bash: Cyclone
13372,9/8/07,39,Rodney Atkins,These Are My People,Rodney Atkins: These Are My People
13373,9/8/07,40,Plies,Shawty,Plies: Shawty
13374,9/15/07,1,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13375,9/15/07,2,Kanye West,Stronger,Kanye West: Stronger
13376,9/15/07,3,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13377,9/15/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13378,9/15/07,5,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13379,9/15/07,6,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13380,9/15/07,7,Nickelback,Rockstar,Nickelback: Rockstar
13381,9/15/07,8,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13382,9/15/07,10,Rihanna,Umbrella,Rihanna: Umbrella
13383,9/15/07,12,Lifehouse,First Time,Lifehouse: First Time
13384,9/15/07,15,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13385,9/15/07,17,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13386,9/15/07,18,T-Pain,Bartender,T-Pain: Bartender
13387,9/15/07,19,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13388,9/15/07,21,R. Kelly,Same Girl,R. Kelly: Same Girl
13389,9/15/07,24,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13390,9/15/07,27,J. Holiday,Bed,J. Holiday: Bed
13391,9/15/07,29,Sean Kingston,Me Love,Sean Kingston: Me Love
13392,9/15/07,30,Baby Bash,Cyclone,Baby Bash: Cyclone
13393,9/15/07,31,Kat DeLuna,Whine Up,Kat DeLuna: Whine Up
13394,9/15/07,32,Colbie Caillat,Bubbly,Colbie Caillat: Bubbly
13395,9/15/07,33,Finger Eleven,Paralyzer,Finger Eleven: Paralyzer
13396,9/15/07,35,Musiq Soulchild,Teachme,Musiq Soulchild: Teachme
13397,9/15/07,36,Rodney Atkins,These Are My People,Rodney Atkins: These Are My People
13398,9/15/07,38,Plies,Shawty,Plies: Shawty
13399,9/15/07,39,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13400,9/15/07,40,Daughtry,Over You,Daughtry: Over You
13401,9/22/07,1,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13402,9/22/07,2,Kanye West,Stronger,Kanye West: Stronger
13403,9/22/07,3,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13404,9/22/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13405,9/22/07,5,T-Pain,Bartender,T-Pain: Bartender
13406,9/22/07,6,Nickelback,Rockstar,Nickelback: Rockstar
13407,9/22/07,7,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13408,9/22/07,9,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13409,9/22/07,10,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13410,9/22/07,11,Lifehouse,First Time,Lifehouse: First Time
13411,9/22/07,12,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13412,9/22/07,14,Rihanna,Umbrella,Rihanna: Umbrella
13413,9/22/07,16,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13414,9/22/07,18,J. Holiday,Bed,J. Holiday: Bed
13415,9/22/07,19,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13416,9/22/07,20,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13417,9/22/07,24,R. Kelly,Same Girl,R. Kelly: Same Girl
13418,9/22/07,26,Kat DeLuna,Whine Up,Kat DeLuna: Whine Up
13419,9/22/07,29,Baby Bash,Cyclone,Baby Bash: Cyclone
13420,9/22/07,30,Colbie Caillat,Bubbly,Colbie Caillat: Bubbly
13421,9/22/07,31,Sean Kingston,Me Love,Sean Kingston: Me Love
13422,9/22/07,35,Daughtry,Over You,Daughtry: Over You
13423,9/22/07,36,Plies,Shawty,Plies: Shawty
13424,9/22/07,37,Finger Eleven,Paralyzer,Finger Eleven: Paralyzer
13425,9/22/07,38,Rodney Atkins,These Are My People,Rodney Atkins: These Are My People
13426,9/22/07,39,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13427,9/29/07,1,Kanye West,Stronger,Kanye West: Stronger
13428,9/29/07,2,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13429,9/29/07,3,Timbaland,The Way I Are,Timbaland: The Way I Are
13430,9/29/07,4,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13431,9/29/07,6,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13432,9/29/07,7,Plies,Shawty,Plies: Shawty
13433,9/29/07,8,J. Holiday,Bed,J. Holiday: Bed
13434,9/29/07,9,Nickelback,Rockstar,Nickelback: Rockstar
13435,9/29/07,10,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13436,9/29/07,12,Lifehouse,First Time,Lifehouse: First Time
13437,9/29/07,13,T-Pain,Bartender,T-Pain: Bartender
13438,9/29/07,14,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13439,9/29/07,15,Rihanna,Umbrella,Rihanna: Umbrella
13440,9/29/07,19,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13441,9/29/07,21,Kat DeLuna,Whine Up,Kat DeLuna: Whine Up
13442,9/29/07,24,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13443,9/29/07,25,Colbie Caillat,Bubbly,Colbie Caillat: Bubbly
13444,9/29/07,27,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13445,9/29/07,28,Baby Bash,Cyclone,Baby Bash: Cyclone
13446,9/29/07,29,Timbaland,Apologize,Timbaland: Apologize
13447,9/29/07,31,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13448,9/29/07,33,Fall Out Boy,Thnks Fr Th Mmrs,Fall Out Boy: Thnks Fr Th Mmrs
13449,9/29/07,34,Sean Kingston,Me Love,Sean Kingston: Me Love
13450,9/29/07,36,Rodney Atkins,These Are My People,Rodney Atkins: These Are My People
13451,9/29/07,38,Finger Eleven,Paralyzer,Finger Eleven: Paralyzer
13452,9/29/07,39,Daughtry,Over You,Daughtry: Over You
13453,10/6/07,1,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13454,10/6/07,2,Kanye West,Stronger,Kanye West: Stronger
13455,10/6/07,3,Timbaland,The Way I Are,Timbaland: The Way I Are
13456,10/6/07,4,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
13457,10/6/07,5,J. Holiday,Bed,J. Holiday: Bed
13458,10/6/07,7,Keyshia Cole,Let It Go,Keyshia Cole: Let It Go
13459,10/6/07,8,Plain White T's,Hey There Delilah,Plain White T's: Hey There Delilah
13460,10/6/07,9,Plies,Shawty,Plies: Shawty
13461,10/6/07,10,Nickelback,Rockstar,Nickelback: Rockstar
13462,10/6/07,12,Lifehouse,First Time,Lifehouse: First Time
13463,10/6/07,14,Sean Kingston,Beautiful Girls,Sean Kingston: Beautiful Girls
13464,10/6/07,15,Shop Boyz,Party Like A Rockstar,Shop Boyz: Party Like A Rockstar
13465,10/6/07,17,Kat DeLuna,Whine Up,Kat DeLuna: Whine Up
13466,10/6/07,18,T-Pain,Bartender,T-Pain: Bartender
13467,10/6/07,20,Rihanna,Umbrella,Rihanna: Umbrella
13468,10/6/07,21,Hurricane Chris,A Bay Bay,Hurricane Chris: A Bay Bay
13469,10/6/07,25,Colbie Caillat,Bubbly,Colbie Caillat: Bubbly
13470,10/6/07,27,Avril Lavigne,Girlfriend,Avril Lavigne: Girlfriend
13471,10/6/07,28,Timbaland,Apologize,Timbaland: Apologize
13472,10/6/07,29,Sean Kingston,Me Love,Sean Kingston: Me Love
13473,10/6/07,31,T-Pain,Buy U A Drank (Shawty Snappin'),T-Pain: Buy U A Drank (Shawty Snappin')
13474,10/6/07,33,Rodney Atkins,These Are My People,Rodney Atkins: These Are My People
13475,10/6/07,35,Daughtry,Over You,Daughtry: Over You
13476,10/6/07,37,Baby Bash,Cyclone,Baby Bash: Cyclone
13477,10/13/07,1,Soulja Boy,Crank That (Soulja Boy),Soulja Boy: Crank That (Soulja Boy)
13478,10/13/07,2,Kanye West,Stronger,Kanye West: Stronger
13479,10/13/07,3,Britney Spears,Gimme More,Britney Spears: Gimme More
13480,10/13/07,4,Timbaland,The Way I Are,Timbaland: The Way I Are
13481,10/13/07,5,Fergie,Big Girls Don't Cry,Fergie: Big Girls Don't Cry
