chart_order,week,position,song,artist,combo_str
18588,2012-05-26,10,Glad You Came,Wanted,WantedGlad You Came
18589,2012-05-26,14,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18590,2012-05-26,15,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18591,2012-05-26,20,So Good,B.o.B,B.o.BSo Good
18592,2012-05-26,21,Both Of Us,B.O.B,B.O.BBoth Of Us
18593,2012-05-26,24,Set Fire To The Rain,Adele,AdeleSet Fire To The Rain
18594,2012-05-26,27,Dance Again,Jennifer Lopez,Jennifer LopezDance Again
18595,2012-05-26,30,Brokenhearted,Karmin,KarminBrokenhearted
18596,2012-05-26,31,Live My Life,Far East Movement,Far East MovementLive My Life
18597,2012-05-26,32,Sexy And I Know It,LMFAO,LMFAOSexy And I Know It
18598,2012-05-26,33,Good Girl,Carrie Underwood,Carrie UnderwoodGood Girl
18599,2012-05-26,34,Drank In My Cup,Kirko Bangz,Kirko BangzDrank In My Cup
18600,2012-05-26,35,Somethin' 'bout A Truck,Kip Moore,Kip MooreSomethin' 'bout A Truck
18601,2012-05-26,38,I Won't Give Up,Jason Mraz,Jason MrazI Won't Give Up
18602,2012-06-02,1,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18603,2012-06-02,2,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18604,2012-06-02,3,Payphone,Maroon 5,Maroon 5Payphone
18605,2012-06-02,4,We Are Young,Fun.,Fun.We Are Young
18606,2012-06-02,5,Starships,Nicki Minaj,Nicki MinajStarships
18607,2012-06-02,6,Wild Ones,Flo Rida,Flo RidaWild Ones
18608,2012-06-02,8,Glad You Came,Wanted,WantedGlad You Came
18609,2012-06-02,9,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18610,2012-06-02,14,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18611,2012-06-02,18,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18612,2012-06-02,22,Both Of Us,B.O.B,B.O.BBoth Of Us
18613,2012-06-02,24,Titanium,David Guetta,David GuettaTitanium
18614,2012-06-02,25,So Good,B.o.B,B.o.BSo Good
18615,2012-06-02,26,Dance Again,Jennifer Lopez,Jennifer LopezDance Again
18616,2012-06-02,28,Set Fire To The Rain,Adele,AdeleSet Fire To The Rain
18617,2012-06-02,29,Good Girl,Carrie Underwood,Carrie UnderwoodGood Girl
18618,2012-06-02,31,Somethin' 'bout A Truck,Kip Moore,Kip MooreSomethin' 'bout A Truck
18619,2012-06-02,32,Brokenhearted,Karmin,KarminBrokenhearted
18620,2012-06-02,33,Sexy And I Know It,LMFAO,LMFAOSexy And I Know It
18621,2012-06-02,34,Drank In My Cup,Kirko Bangz,Kirko BangzDrank In My Cup
18622,2012-06-02,36,Live My Life,Far East Movement,Far East MovementLive My Life
18623,2012-06-02,39,I Won't Give Up,Jason Mraz,Jason MrazI Won't Give Up
18624,2012-06-09,1,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18625,2012-06-09,2,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18626,2012-06-09,3,Payphone,Maroon 5,Maroon 5Payphone
18627,2012-06-09,4,We Are Young,Fun.,Fun.We Are Young
18628,2012-06-09,5,Starships,Nicki Minaj,Nicki MinajStarships
18629,2012-06-09,6,Wild Ones,Flo Rida,Flo RidaWild Ones
18630,2012-06-09,8,Home,Phillip Phillips,Phillip PhillipsHome
18631,2012-06-09,9,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18632,2012-06-09,13,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18633,2012-06-09,14,Glad You Came,Wanted,WantedGlad You Came
18634,2012-06-09,15,Brokenhearted,Karmin,KarminBrokenhearted
18635,2012-06-09,16,Both Of Us,B.O.B,B.O.BBoth Of Us
18636,2012-06-09,19,So Good,B.o.B,B.o.BSo Good
18637,2012-06-09,22,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18638,2012-06-09,23,Springsteen,Eric Church,Eric ChurchSpringsteen
18639,2012-06-09,25,Titanium,David Guetta,David GuettaTitanium
18640,2012-06-09,30,Set Fire To The Rain,Adele,AdeleSet Fire To The Rain
18641,2012-06-09,32,Drank In My Cup,Kirko Bangz,Kirko BangzDrank In My Cup
18642,2012-06-09,33,Somethin' 'bout A Truck,Kip Moore,Kip MooreSomethin' 'bout A Truck
18643,2012-06-09,34,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18644,2012-06-09,35,Dance Again,Jennifer Lopez,Jennifer LopezDance Again
18645,2012-06-09,36,Good Girl,Carrie Underwood,Carrie UnderwoodGood Girl
18646,2012-06-09,38,(Kissed You) Good Night,Gloriana,Gloriana(Kissed You) Good Night
18647,2012-06-09,39,I Won't Give Up,Jason Mraz,Jason MrazI Won't Give Up
18648,2012-06-16,1,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18649,2012-06-16,2,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18650,2012-06-16,3,Payphone,Maroon 5,Maroon 5Payphone
18651,2012-06-16,4,We Are Young,Fun.,Fun.We Are Young
18652,2012-06-16,5,Starships,Nicki Minaj,Nicki MinajStarships
18653,2012-06-16,6,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18654,2012-06-16,8,Wild Ones,Flo Rida,Flo RidaWild Ones
18655,2012-06-16,10,Glad You Came,Wanted,WantedGlad You Came
18656,2012-06-16,11,Home,Phillip Phillips,Phillip PhillipsHome
18657,2012-06-16,14,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18658,2012-06-16,16,So Good,B.o.B,B.o.BSo Good
18659,2012-06-16,18,Brokenhearted,Karmin,KarminBrokenhearted
18660,2012-06-16,20,Both Of Us,B.O.B,B.O.BBoth Of Us
18661,2012-06-16,21,Springsteen,Eric Church,Eric ChurchSpringsteen
18662,2012-06-16,26,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18663,2012-06-16,27,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18664,2012-06-16,28,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18665,2012-06-16,29,Titanium,David Guetta,David GuettaTitanium
18666,2012-06-16,30,Somethin' 'bout A Truck,Kip Moore,Kip MooreSomethin' 'bout A Truck
18667,2012-06-16,31,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18668,2012-06-16,33,Drank In My Cup,Kirko Bangz,Kirko BangzDrank In My Cup
18669,2012-06-16,34,(Kissed You) Good Night,Gloriana,Gloriana(Kissed You) Good Night
18670,2012-06-16,36,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18671,2012-06-16,37,Set Fire To The Rain,Adele,AdeleSet Fire To The Rain
18672,2012-06-16,39,Dance Again,Jennifer Lopez,Jennifer LopezDance Again
18673,2012-06-16,40,Good Girl,Carrie Underwood,Carrie UnderwoodGood Girl
18674,2012-06-23,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18675,2012-06-23,2,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18676,2012-06-23,3,Payphone,Maroon 5,Maroon 5Payphone
18677,2012-06-23,4,We Are Young,Fun.,Fun.We Are Young
18678,2012-06-23,5,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18679,2012-06-23,6,Starships,Nicki Minaj,Nicki MinajStarships
18680,2012-06-23,9,Wild Ones,Flo Rida,Flo RidaWild Ones
18681,2012-06-23,12,Glad You Came,Wanted,WantedGlad You Came
18682,2012-06-23,13,Home,Phillip Phillips,Phillip PhillipsHome
18683,2012-06-23,14,Springsteen,Eric Church,Eric ChurchSpringsteen
18684,2012-06-23,19,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18685,2012-06-23,20,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18686,2012-06-23,21,So Good,B.o.B,B.o.BSo Good
18687,2012-06-23,23,Brokenhearted,Karmin,KarminBrokenhearted
18688,2012-06-23,24,Both Of Us,B.O.B,B.O.BBoth Of Us
18689,2012-06-23,26,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18690,2012-06-23,29,The Fighter,Gym Class Heroes,Gym Class HeroesThe Fighter
18691,2012-06-23,31,(Kissed You) Good Night,Gloriana,Gloriana(Kissed You) Good Night
18692,2012-06-23,32,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18693,2012-06-23,35,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18694,2012-06-23,36,Somethin' 'bout A Truck,Kip Moore,Kip MooreSomethin' 'bout A Truck
18695,2012-06-23,37,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18696,2012-06-23,38,Titanium,David Guetta,David GuettaTitanium
18697,2012-06-23,40,Some Nights,Fun.,Fun.Some Nights
18698,2012-06-30,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18699,2012-06-30,2,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18700,2012-06-30,3,Payphone,Maroon 5,Maroon 5Payphone
18701,2012-06-30,5,We Are Young,Fun.,Fun.We Are Young
18702,2012-06-30,7,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18703,2012-06-30,9,Starships,Nicki Minaj,Nicki MinajStarships
18704,2012-06-30,11,Wild Ones,Flo Rida,Flo RidaWild Ones
18705,2012-06-30,13,Springsteen,Eric Church,Eric ChurchSpringsteen
18706,2012-06-30,14,Glad You Came,Wanted,WantedGlad You Came
18707,2012-06-30,18,Home,Phillip Phillips,Phillip PhillipsHome
18708,2012-06-30,19,So Good,B.o.B,B.o.BSo Good
18709,2012-06-30,21,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18710,2012-06-30,22,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18711,2012-06-30,23,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18712,2012-06-30,24,Both Of Us,B.O.B,B.O.BBoth Of Us
18713,2012-06-30,25,The Fighter,Gym Class Heroes,Gym Class HeroesThe Fighter
18714,2012-06-30,26,Brokenhearted,Karmin,KarminBrokenhearted
18715,2012-06-30,28,(Kissed You) Good Night,Gloriana,Gloriana(Kissed You) Good Night
18716,2012-06-30,31,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18717,2012-06-30,34,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18718,2012-06-30,35,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18719,2012-06-30,38,5-1-5-0,Dierks Bentley,Dierks Bentley5-1-5-0
18720,2012-06-30,39,Some Nights,Fun.,Fun.Some Nights
18721,2012-07-07,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18722,2012-07-07,2,Payphone,Maroon 5,Maroon 5Payphone
18723,2012-07-07,3,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18724,2012-07-07,6,Lights,Ellie Goulding,Ellie GouldingLights
18725,2012-07-07,8,We Are Young,Fun.,Fun.We Are Young
18726,2012-07-07,10,Starships,Nicki Minaj,Nicki MinajStarships
18727,2012-07-07,13,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18728,2012-07-07,14,Glad You Came,Wanted,WantedGlad You Came
18729,2012-07-07,15,Springsteen,Eric Church,Eric ChurchSpringsteen
18730,2012-07-07,17,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18731,2012-07-07,18,Wild Ones,Flo Rida,Flo RidaWild Ones
18732,2012-07-07,19,Home,Phillip Phillips,Phillip PhillipsHome
18733,2012-07-07,20,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18734,2012-07-07,22,Both Of Us,B.O.B,B.O.BBoth Of Us
18735,2012-07-07,23,The Fighter,Gym Class Heroes,Gym Class HeroesThe Fighter
18736,2012-07-07,24,So Good,B.o.B,B.o.BSo Good
18737,2012-07-07,25,Brokenhearted,Karmin,KarminBrokenhearted
18738,2012-07-07,27,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18739,2012-07-07,28,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18740,2012-07-07,29,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18741,2012-07-07,30,(Kissed You) Good Night,Gloriana,Gloriana(Kissed You) Good Night
18742,2012-07-07,31,Lights,Ellie Goulding,Ellie GouldingLights
18743,2012-07-07,32,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18744,2012-07-07,33,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18745,2012-07-07,37,5-1-5-0,Dierks Bentley,Dierks Bentley5-1-5-0
18746,2012-07-07,38,No Lie,2 Chainz,2 ChainzNo Lie
18747,2012-07-14,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18748,2012-07-14,2,Payphone,Maroon 5,Maroon 5Payphone
18749,2012-07-14,3,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18750,2012-07-14,6,Lights,Ellie Goulding,Ellie GouldingLights
18751,2012-07-14,7,We Are Young,Fun.,Fun.We Are Young
18752,2012-07-14,8,Titanium,David Guetta,David GuettaTitanium
18753,2012-07-14,9,Starships,Nicki Minaj,Nicki MinajStarships
18754,2012-07-14,14,Good Time,Owl City,Owl CityGood Time
18755,2012-07-14,15,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18756,2012-07-14,17,Whistle,Flo Rida,Flo RidaWhistle
18757,2012-07-14,19,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18758,2012-07-14,20,Glad You Came,Wanted,WantedGlad You Came
18759,2012-07-14,21,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18760,2012-07-14,22,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18761,2012-07-14,23,Springsteen,Eric Church,Eric ChurchSpringsteen
18762,2012-07-14,24,Brokenhearted,Karmin,KarminBrokenhearted
18763,2012-07-14,25,Wild Ones,Flo Rida,Flo RidaWild Ones
18764,2012-07-14,26,Want U Back,Cher Lloyd,Cher LloydWant U Back
18765,2012-07-14,27,So Good,B.o.B,B.o.BSo Good
18766,2012-07-14,28,Home,Phillip Phillips,Phillip PhillipsHome
18767,2012-07-14,29,The Fighter,Gym Class Heroes,Gym Class HeroesThe Fighter
18768,2012-07-14,30,Both Of Us,B.O.B,B.O.BBoth Of Us
18769,2012-07-14,33,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18770,2012-07-14,35,5-1-5-0,Dierks Bentley,Dierks Bentley5-1-5-0
18771,2012-07-14,36,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18772,2012-07-14,37,No Lie,2 Chainz,2 ChainzNo Lie
18773,2012-07-14,38,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18774,2012-07-14,40,Lights,Ellie Goulding,Ellie GouldingLights
18775,2012-07-21,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18776,2012-07-21,2,Payphone,Maroon 5,Maroon 5Payphone
18777,2012-07-21,3,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18778,2012-07-21,5,Lights,Ellie Goulding,Ellie GouldingLights
18779,2012-07-21,7,We Are Young,Fun.,Fun.We Are Young
18780,2012-07-21,8,Titanium,David Guetta,David GuettaTitanium
18781,2012-07-21,9,Starships,Nicki Minaj,Nicki MinajStarships
18782,2012-07-21,10,Wild Ones,Flo Rida,Flo RidaWild Ones
18783,2012-07-21,13,Whistle,Flo Rida,Flo RidaWhistle
18784,2012-07-21,15,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18785,2012-07-21,16,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18786,2012-07-21,18,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18787,2012-07-21,20,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18788,2012-07-21,23,Want U Back,Cher Lloyd,Cher LloydWant U Back
18789,2012-07-21,24,Good Time,Owl City,Owl CityGood Time
18790,2012-07-21,25,Brokenhearted,Karmin,KarminBrokenhearted
18791,2012-07-21,28,Glad You Came,Wanted,WantedGlad You Came
18792,2012-07-21,29,Pontoon,Little Big Town,Little Big TownPontoon
18793,2012-07-21,30,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18794,2012-07-21,31,Springsteen,Eric Church,Eric ChurchSpringsteen
18795,2012-07-21,32,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18796,2012-07-21,33,Home,Phillip Phillips,Phillip PhillipsHome
18797,2012-07-21,36,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18798,2012-07-21,37,Both Of Us,B.O.B,B.O.BBoth Of Us
18799,2012-07-21,38,So Good,B.o.B,B.o.BSo Good
18800,2012-07-21,40,No Lie,2 Chainz,2 ChainzNo Lie
18801,2012-07-28,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18802,2012-07-28,2,Payphone,Maroon 5,Maroon 5Payphone
18803,2012-07-28,4,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18804,2012-07-28,5,Lights,Ellie Goulding,Ellie GouldingLights
18805,2012-07-28,8,Whistle,Flo Rida,Flo RidaWhistle
18806,2012-07-28,10,Titanium,David Guetta,David GuettaTitanium
18807,2012-07-28,11,We Are Young,Fun.,Fun.We Are Young
18808,2012-07-28,12,Want U Back,Cher Lloyd,Cher LloydWant U Back
18809,2012-07-28,13,Starships,Nicki Minaj,Nicki MinajStarships
18810,2012-07-28,14,Some Nights,Fun.,Fun.Some Nights
18811,2012-07-28,17,Wild Ones,Flo Rida,Flo RidaWild Ones
18812,2012-07-28,18,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18813,2012-07-28,19,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18814,2012-07-28,20,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18815,2012-07-28,21,Good Time,Owl City,Owl CityGood Time
18816,2012-07-28,27,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18817,2012-07-28,28,Glad You Came,Wanted,WantedGlad You Came
18818,2012-07-28,30,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18819,2012-07-28,31,Brokenhearted,Karmin,KarminBrokenhearted
18820,2012-07-28,33,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18821,2012-07-28,34,Home,Phillip Phillips,Phillip PhillipsHome
18822,2012-07-28,35,No Lie,2 Chainz,2 ChainzNo Lie
18823,2012-07-28,37,Pontoon,Little Big Town,Little Big TownPontoon
18824,2012-07-28,38,Burn It Down,Linkin Park,Linkin ParkBurn It Down
18825,2012-07-28,39,Both Of Us,B.O.B,B.O.BBoth Of Us
18826,2012-07-28,40,Too Close,Alex Clare,Alex ClareToo Close
18827,2012-08-04,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18828,2012-08-04,2,Payphone,Maroon 5,Maroon 5Payphone
18829,2012-08-04,4,Lights,Ellie Goulding,Ellie GouldingLights
18830,2012-08-04,5,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18831,2012-08-04,7,Whistle,Flo Rida,Flo RidaWhistle
18832,2012-08-04,8,Titanium,David Guetta,David GuettaTitanium
18833,2012-08-04,10,Want U Back,Cher Lloyd,Cher LloydWant U Back
18834,2012-08-04,13,Some Nights,Fun.,Fun.Some Nights
18835,2012-08-04,15,We Are Young,Fun.,Fun.We Are Young
18836,2012-08-04,17,Starships,Nicki Minaj,Nicki MinajStarships
18837,2012-08-04,18,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18838,2012-08-04,19,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18839,2012-08-04,20,Wild Ones,Flo Rida,Flo RidaWild Ones
18840,2012-08-04,21,Good Time,Owl City,Owl CityGood Time
18841,2012-08-04,22,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18842,2012-08-04,24,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18843,2012-08-04,25,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18844,2012-08-04,27,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18845,2012-08-04,31,Too Close,Alex Clare,Alex ClareToo Close
18846,2012-08-04,32,No Lie,2 Chainz,2 ChainzNo Lie
18847,2012-08-04,36,Wanted,Hunter Hayes,Hunter HayesWanted
18848,2012-08-04,38,Glad You Came,Wanted,WantedGlad You Came
18849,2012-08-04,39,Home,Phillip Phillips,Phillip PhillipsHome
18850,2012-08-04,40,Both Of Us,B.O.B,B.O.BBoth Of Us
18851,2012-08-11,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18852,2012-08-11,3,Payphone,Maroon 5,Maroon 5Payphone
18853,2012-08-11,4,Whistle,Flo Rida,Flo RidaWhistle
18854,2012-08-11,5,Lights,Ellie Goulding,Ellie GouldingLights
18855,2012-08-11,6,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18856,2012-08-11,9,Titanium,David Guetta,David GuettaTitanium
18857,2012-08-11,11,Want U Back,Cher Lloyd,Cher LloydWant U Back
18858,2012-08-11,14,We Are Young,Fun.,Fun.We Are Young
18859,2012-08-11,15,Some Nights,Fun.,Fun.Some Nights
18860,2012-08-11,17,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18861,2012-08-11,20,Starships,Nicki Minaj,Nicki MinajStarships
18862,2012-08-11,21,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18863,2012-08-11,22,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18864,2012-08-11,23,Good Time,Owl City,Owl CityGood Time
18865,2012-08-11,25,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18866,2012-08-11,27,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18867,2012-08-11,28,Wild Ones,Flo Rida,Flo RidaWild Ones
18868,2012-08-11,29,Too Close,Alex Clare,Alex ClareToo Close
18869,2012-08-11,31,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18870,2012-08-11,32,Glad You Came,Wanted,WantedGlad You Came
18871,2012-08-11,35,Wanted,Hunter Hayes,Hunter HayesWanted
18872,2012-08-11,36,Both Of Us,B.O.B,B.O.BBoth Of Us
18873,2012-08-11,38,Home,Phillip Phillips,Phillip PhillipsHome
18874,2012-08-11,39,No Lie,2 Chainz,2 ChainzNo Lie
18875,2012-08-18,1,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18876,2012-08-18,2,Lights,Ellie Goulding,Ellie GouldingLights
18877,2012-08-18,3,Whistle,Flo Rida,Flo RidaWhistle
18878,2012-08-18,5,Payphone,Maroon 5,Maroon 5Payphone
18879,2012-08-18,6,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18880,2012-08-18,7,Home,Phillip Phillips,Phillip PhillipsHome
18881,2012-08-18,10,Want U Back,Cher Lloyd,Cher LloydWant U Back
18882,2012-08-18,11,Titanium,David Guetta,David GuettaTitanium
18883,2012-08-18,13,We Are Young,Fun.,Fun.We Are Young
18884,2012-08-18,15,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18885,2012-08-18,16,Some Nights,Fun.,Fun.Some Nights
18886,2012-08-18,20,Good Time,Owl City,Owl CityGood Time
18887,2012-08-18,23,Starships,Nicki Minaj,Nicki MinajStarships
18888,2012-08-18,24,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18889,2012-08-18,25,Too Close,Alex Clare,Alex ClareToo Close
18890,2012-08-18,26,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18891,2012-08-18,27,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18892,2012-08-18,28,One More Night,Maroon 5,Maroon 5One More Night
18893,2012-08-18,29,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18894,2012-08-18,31,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18895,2012-08-18,32,Both Of Us,B.O.B,B.O.BBoth Of Us
18896,2012-08-18,33,Wild Ones,Flo Rida,Flo RidaWild Ones
18897,2012-08-18,36,Glad You Came,Wanted,WantedGlad You Came
18898,2012-08-18,37,No Lie,2 Chainz,2 ChainzNo Lie
18899,2012-08-18,38,Wanted,Hunter Hayes,Hunter HayesWanted
18900,2012-08-18,40,Blown Away,Carrie Underwood,Carrie UnderwoodBlown Away
18901,2012-08-25,1,Whistle,Flo Rida,Flo RidaWhistle
18902,2012-08-25,2,Lights,Ellie Goulding,Ellie GouldingLights
18903,2012-08-25,3,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18904,2012-08-25,5,Payphone,Maroon 5,Maroon 5Payphone
18905,2012-08-25,6,Some Nights,Fun.,Fun.Some Nights
18906,2012-08-25,7,Somebody That I Used To Know,Gotye,GotyeSomebody That I Used To Know
18907,2012-08-25,9,Want U Back,Cher Lloyd,Cher LloydWant U Back
18908,2012-08-25,10,Home,Phillip Phillips,Phillip PhillipsHome
18909,2012-08-25,15,Titanium,David Guetta,David GuettaTitanium
18910,2012-08-25,16,Cashin' Out,Ca$h Out,Ca$h OutCashin' Out
18911,2012-08-25,17,I Will Wait,Mumford,MumfordI Will Wait
18912,2012-08-25,18,We Are Young,Fun.,Fun.We Are Young
18913,2012-08-25,19,Too Close,Alex Clare,Alex ClareToo Close
18914,2012-08-25,20,Good Time,Owl City,Owl CityGood Time
18915,2012-08-25,23,We Run The Night,Havana Brown,Havana BrownWe Run The Night
18916,2012-08-25,24,One More Night,Maroon 5,Maroon 5One More Night
18917,2012-08-25,27,Starships,Nicki Minaj,Nicki MinajStarships
18918,2012-08-25,30,No Lie,2 Chainz,2 ChainzNo Lie
18919,2012-08-25,31,What Makes You Beautiful,One Direction,One DirectionWhat Makes You Beautiful
18920,2012-08-25,32,Both Of Us,B.O.B,B.O.BBoth Of Us
18921,2012-08-25,33,Wanted,Hunter Hayes,Hunter HayesWanted
18922,2012-08-25,34,Blown Away,Carrie Underwood,Carrie UnderwoodBlown Away
18923,2012-08-25,35,Even If It Breaks Your Heart,Eli Young Band,Eli Young BandEven If It Breaks Your Heart
18924,2012-08-25,36,Glad You Came,Wanted,WantedGlad You Came
18925,2012-08-25,37,Everybody Talks,Neon Trees,Neon TreesEverybody Talks
18926,2012-08-25,38,Give Your Heart A Break,Demi Lovato,Demi LovatoGive Your Heart A Break
18927,2012-08-25,39,Ho Hey,Lumineers,LumineersHo Hey
18928,2012-08-25,40,Stronger (What Doesn't Kill You),Kelly Clarkson,Kelly ClarksonStronger (What Doesn't Kill You)
18929,2012-09-01,2,Whistle,Flo Rida,Flo RidaWhistle
18930,2012-09-01,3,Lights,Ellie Goulding,Ellie GouldingLights
18931,2012-09-01,4,Call Me Maybe,Carly Rae Jepsen,Carly Rae JepsenCall Me Maybe
18932,2012-09-01,6,Some Nights,Fun.,Fun.Some Nights
18933,2012-09-01,8,Payphone,Maroon 5,Maroon 5Payphone
18934,2012-09-01,9,One More Night,Maroon 5,Maroon 5One More Night
18935,2012-09-01,10,Titanium,David Guetta,David GuettaTitanium
